2020_ages,2021_ages,2022_ages,2023_ages,2024_ages
35-64,65+,18 and younger,18 and younger,19-20
21-24,19-20,21-24,18 and younger,19-20
25-34,19-20,19-20,19-20,18 and younger
21-24,19-20,19-20,18 and younger,19-20
25-34,19-20,19-20,19-20,19-20
19-20,21-24,19-20,18 and younger,19-20
19-20,19-20,18 and younger,35-64,19-20
19-20,35-64,25-34,19-20,18 and younger
19-20,35-64,25-34,19-20,19-20
35-64,18 and younger,19-20,25-34,19-20
21-24,35-64,21-24,35-64,25-34
19-20,19-20,18 and younger,19-20,21-24
35-64,19-20,18 and younger,25-34,21-24
21-24,19-20,18 and younger,19-20,21-24
19-20,19-20,19-20,19-20,18 and younger
19-20,18 and younger,25-34,19-20,19-20
25-34,25-34,19-20,19-20,18 and younger
25-34,19-20,35-64,19-20,18 and younger
19-20,18 and younger,21-24,18 and younger,18 and younger
19-20,35-64,25-34,18 and younger,19-20
25-34,35-64,21-24,19-20,18 and younger
21-24,25-34,21-24,19-20,19-20
18 and younger,25-34,19-20,21-24,25-34
19-20,19-20,25-34,18 and younger,25-34
21-24,21-24,19-20,21-24,19-20
25-34,21-24,35-64,19-20,18 and younger
18 and younger,21-24,19-20,19-20,19-20
19-20,19-20,25-34,19-20,19-20
25-34,21-24,18 and younger,21-24,25-34
21-24,19-20,19-20,19-20,21-24
18 and younger,21-24,19-20,21-24,21-24
19-20,19-20,18 and younger,19-20,18 and younger
19-20,19-20,19-20,18 and younger,18 and younger
18 and younger,18 and younger,18 and younger,19-20,35-64
21-24,19-20,21-24,18 and younger,21-24
21-24,19-20,18 and younger,19-20,19-20
21-24,21-24,19-20,21-24,21-24
19-20,18 and younger,19-20,35-64,19-20
19-20,19-20,18 and younger,18 and younger,19-20
18 and younger,25-34,18 and younger,35-64,19-20
19-20,25-34,18 and younger,25-34,21-24
21-24,25-34,19-20,19-20,18 and younger
19-20,19-20,19-20,21-24,19-20
25-34,19-20,25-34,21-24,18 and younger
19-20,25-34,19-20,21-24,25-34
18 and younger,21-24,19-20,19-20,21-24
21-24,18 and younger,21-24,19-20,21-24
18 and younger,19-20,21-24,19-20,19-20
19-20,18 and younger,21-24,19-20,19-20
19-20,18 and younger,19-20,19-20,19-20
21-24,19-20,18 and younger,19-20,19-20
19-20,18 and younger,25-34,19-20,25-34
19-20,25-34,19-20,19-20,19-20
18 and younger,19-20,18 and younger,21-24,35-64
19-20,19-20,18 and younger,21-24,19-20
21-24,35-64,19-20,19-20,25-34
21-24,19-20,18 and younger,19-20,18 and younger
19-20,21-24,18 and younger,35-64,19-20
19-20,18 and younger,19-20,19-20,21-24
25-34,25-34,19-20,19-20,19-20
19-20,19-20,35-64,25-34,21-24
19-20,19-20,21-24,35-64,19-20
21-24,21-24,18 and younger,19-20,19-20
19-20,19-20,19-20,19-20,25-34
19-20,35-64,18 and younger,19-20,25-34
19-20,21-24,21-24,19-20,19-20
19-20,19-20,25-34,19-20,19-20
19-20,19-20,19-20,25-34,19-20
19-20,25-34,19-20,19-20,18 and younger
25-34,21-24,19-20,19-20,19-20
21-24,19-20,19-20,19-20,19-20
21-24,19-20,19-20,19-20,19-20
25-34,19-20,25-34,21-24,21-24
21-24,35-64,19-20,35-64,21-24
19-20,21-24,19-20,19-20,19-20
21-24,35-64,19-20,21-24,19-20
18 and younger,65+,19-20,21-24,35-64
19-20,19-20,19-20,18 and younger,35-64
21-24,18 and younger,25-34,19-20,19-20
35-64,19-20,21-24,19-20,25-34
18 and younger,18 and younger,21-24,19-20,35-64
19-20,19-20,21-24,21-24,21-24
21-24,19-20,19-20,19-20,19-20
35-64,25-34,19-20,21-24,19-20
19-20,25-34,25-34,19-20,19-20
19-20,35-64,18 and younger,19-20,35-64
65+,21-24,18 and younger,19-20,25-34
19-20,19-20,25-34,21-24,21-24
21-24,21-24,19-20,19-20,19-20
19-20,19-20,21-24,19-20,19-20
35-64,35-64,25-34,35-64,19-20
21-24,18 and younger,19-20,19-20,21-24
19-20,19-20,18 and younger,25-34,
21-24,21-24,21-24,19-20,
19-20,18 and younger,18 and younger,25-34,
19-20,19-20,19-20,21-24,
19-20,19-20,25-34,25-34,
19-20,25-34,19-20,18 and younger,
19-20,25-34,18 and younger,25-34,
18 and younger,19-20,18 and younger,21-24,
25-34,19-20,18 and younger,19-20,
25-34,25-34,18 and younger,21-24,
21-24,21-24,18 and younger,25-34,
25-34,19-20,18 and younger,21-24,
19-20,19-20,18 and younger,21-24,
18 and younger,18 and younger,18 and younger,,
18 and younger,21-24,18 and younger,,
21-24,19-20,18 and younger,,
19-20,18 and younger,18 and younger,,
21-24,19-20,18 and younger,,
21-24,19-20,18 and younger,,
21-24,19-20,18 and younger,,
19-20,21-24,18 and younger,,
21-24,25-34,18 and younger,,
19-20,19-20,35-64,,
19-20,18 and younger,25-34,,
21-24,25-34,18 and younger,,
19-20,21-24,18 and younger,,
19-20,19-20,21-24,,
19-20,25-34,18 and younger,,
21-24,19-20,21-24,,
19-20,21-24,18 and younger,,
21-24,,21-24,,
19-20,,21-24,,
25-34,,18 and younger,,
35-64,,21-24,,
25-34,,21-24,,
35-64,,19-20,,
19-20,,19-20,,
21-24,,35-64,,
18 and younger,,19-20,,
19-20,,,,
25-34,,,,
18 and younger,,,,
25-34,,,,
19-20,,,,
19-20,,,,
19-20,,,,
19-20,,,,
19-20,,,,
19-20,,,,
25-34,,,,
21-24,,,,
19-20,,,,
19-20,,,,
21-24,,,,
19-20,,,,
21-24,,,,
35-64,,,,
18 and younger,,,,
21-24,,,,
25-34,,,,
18 and younger,,,,
18 and younger,,,,
19-20,,,,
19-20,,,,
19-20,,,,
21-24,,,,
19-20,,,,
21-24,,,,
18 and younger,,,,
19-20,,,,
18 and younger,,,,
19-20,,,,
18 and younger,,,,
19-20,,,,
19-20,,,,
19-20,,,,
21-24,,,,
21-24,,,,
21-24,,,,
21-24,,,,
21-24,,,,
18 and younger,,,,
25-34,,,,
19-20,,,,
25-34,,,,
19-20,,,,
19-20,,,,
19-20,,,,
18 and younger,,,,
21-24,,,,
19-20,,,,
19-20,,,,
35-64,,,,
19-20,,,,
19-20,,,,
19-20,,,,
18 and younger,,,,
21-24,,,,
18 and younger,,,,
19-20,,,,
19-20,,,,
19-20,,,,
19-20,,,,
19-20,,,,
19-20,,,,
19-20,,,,
19-20,,,,
18 and younger,,,,
19-20,,,,
21-24,,,,
